Código,Nome,Período,Duração,Dependências
EDU253,ESTUDOS SOCIOLOGICOS SOBRE EDUCACAO,1,1, 
FIL611,HISTORIA DA FILOSOFIA I: FILOSOFIA GREGA I,1,1, 
FIL612,INTRODUCAO A HISTORIA DA FILOSOFIA,1,1, 
FIL613,LOGICA I,1,1, 
FIL614,HISTORIA E CULTURA GREGA,1,1, 
EDU252,ESTUDOS HISTORICOS SOBRE EDUCACAO,2,1, 
EDU254,POLITICA E GESTAO EDUCACIONAL,2,1, 
FIL491,SEMINARIO DE ENSINO FILOSOFICO I,2,1, 
FIL621,HISTORIA DA FILOSOFIA II: FILOSOFIA GREGA II,2,1,FIL611
LET966,INTRODUCAO A LIBRAS,2,1, 
EDU256,PSICOLOGIA DA EDUCACAO,3,1, 
FIL492,SEMINARIO DE ENSINO FILOSOFICO II,3,1, 
FIL622,TEORIA DO CONHECIMENTO,3,1, 
FIL631,HISTORIA DA FILOSOFIA III: FILOSOFIA MEDIEVAL,3,1,FIL621
MIF001,MODULO INTERDISCIPLINAR DE FORMACAO I,3,1, 
FIL493,SEMINARIO DE ENSINO FILOSOFICO III,4,1, 
FIL641,HISTORIA DA FILOSOFIA IV: FILOSOFIA MODERNA I,4,1,FIL631
FIL642,ONTOLOGIA,4,1, 
FIL643,FILOSOFIA DAS CIENCIAS: SECULO XX,4,1, 
FIL644,METODOLOGIA DE PESQUISA EM FILOSOFIA,4,1, 
FIL494,SEMINARIO DE ENSINO FILOSOFICO IV,5,1, 
FIL633,FILOSOFIA SOCIAL E POLITICA,5,1, 
FIL651,HISTORIA DA FILOSOFIA V: FILOSOFIA MODERNA II,5,1,FIL641
FIL653,METAFISICA GERAL,5,1, 
MIF002,MODULO INTERDISCIPLINAR DE FORMACAO II,5,1, 
FIL392,ESTAGIO SUPERVISIONADO I: OBSERVACAO,6,1, 
FIL652,ETICA,6,1, 
FIL661,HISTORIA DA FILOSOFIA VI:FILOSOFIA CONTEMPORANEA I,6,1,FIL651
FIL662,FILOSOFIA DA ARTE,6,1, 
FIL664,FILOSOFIA E FORMACAO,6,1, 
FIL673,SEMINARIO DE ENSINO FILOSOFICO V,6,1, 
FIL393,ESTAGIO SUPERVISIONADO II: PLANEJAMENTO E REGENCIA I,7,1,FIL392
FIL496,SEMINARIO DE ENSINO FILOSOFICO VI,7,1, 
FIL632,ANTROPOLOGIA FILOSOFICA,7,1, 
FIL671,HISTORIA DA FILOSOFIA VII: FILOS. CONTEMPORANEA II,7,1,FIL661
FIL672,ESTETICA GERAL,7,1, 
MIF003,MODULO INTERDISCIPLINAR DE FORMACAO III,7,1, 
FIL394,ESTAGIO SUPERVISIONADO III: PLANEJAMENTO E REGENCIA II,8,1,FIL393
FIL395,ESTAGIO SUPERVISIONADO IV: RELATORIO,8,1,FIL393
FIL683,FILOSOFIA DA RELIGIAO,8,1, 
FIL684,FILOSOFIA DA CULTURA,8,1, 
FIL685,FILOSOFIA DA LINGUAGEM,8,1, 
